"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"22589","ENSG00000227589",3,0,0.0014,0.726841244,0.883036993,"AL136528.1","#N/A","#N/A"
"22590","ENSG00000255443",1,0,0.0014,0.7268729,0.883036993,"CD44-AS1","#N/A","#N/A"
"22591","ENSG00000258920",56,0,0.0014,0.72686688,0.883036993,"FOXN3-AS1","#N/A","#N/A"
"22592","ENSG00000275585",2,0,0.0014,0.726794065,0.883036993,"AC241377.3","#N/A","#N/A"
"22593","ENSG00000167508",1505,0,0.0014,0.727047335,0.883056961,"MVD","9606.ENSP00000301012","Ensembl_gene"
"22594","ENSG00000074964",1347,0,0.0014,0.727532955,0.883302491,"ARHGEF10L","9606.ENSP00000355060","Ensembl_gene"
"22595","ENSG00000125462",34,0,0.0014,0.727425154,0.883302491,"C1orf61","9606.ENSP00000357226","Ensembl_gene"
"22596","ENSG00000125611",611,0,0.0014,0.727571378,0.883302491,"CHCHD5","9606.ENSP00000325655","Ensembl_gene"
"22597","ENSG00000136813",2362,1e-04,0.0014,0.727410033,0.883302491,"ECPAS","9606.ENSP00000259335","Ensembl_gene"
"22598","ENSG00000138802",1314,0,0.0014,0.727471585,0.883302491,"SEC24B","9606.ENSP00000428564","Ensembl_gene"
"22599","ENSG00000181404",881,0,0.0014,0.727335149,0.883302491,"WASHC1","9606.ENSP00000485627","Ensembl_gene"
"22600","ENSG00000183735",1060,0,0.0014,0.727479214,0.883302491,"TBK1","9606.ENSP00000329967","Ensembl_gene"
"22601","ENSG00000226664",3,0,0.0014,0.727437363,0.883302491,"AL020998.1","#N/A","#N/A"
"22602","ENSG00000253404",1,0,0.0014,0.727348388,0.883302491,"AC034243.1","#N/A","#N/A"
"22603","ENSG00000282863",1,0,0.0014,0.727543797,0.883302491,"AC012560.2","#N/A","#N/A"
"22604","ENSG00000084754",10567,0,0.0014,0.727625106,0.883328638,"HADHA","9606.ENSP00000370023","Ensembl_gene"
"22605","ENSG00000223403",2,0,0.0014,0.727707928,0.883390102,"MEG9","#N/A","#N/A"
"22606","ENSG00000120156",38,0,0.0014,0.727991054,0.883694705,"TEK","9606.ENSP00000369375","Ensembl_gene"
"22607","ENSG00000138617",879,0,0.0014,0.728058257,0.883698099,"PARP16","9606.ENSP00000261888","Ensembl_gene"
"22608","ENSG00000214812",7,0,0.0014,0.728049996,0.883698099,"AL137792.1","#N/A","#N/A"
"22609","ENSG00000180953",921,0,0.0014,0.728099654,0.883709257,"ST20","9606.ENSP00000453502","Ensembl_gene"
"22610","ENSG00000120253",1248,-5e-04,0.0015,0.728344958,0.883948209,"NUP43","9606.ENSP00000342262","Ensembl_gene"
"22611","ENSG00000235288",9,0,0.0014,0.728360955,0.883948209,"AC099329.1","#N/A","#N/A"
"22612","ENSG00000271009",30,0,0.0014,0.728519306,0.884101286,"AC116667.1","#N/A","#N/A"
"22613","ENSG00000147155",401,0,0.0014,0.728597298,0.884156832,"EBP","9606.ENSP00000417052","Ensembl_gene"
"22614","ENSG00000254396",11,0,0.0014,0.72871143,0.884178031,"AL355432.1","#N/A","#N/A"
"22615","ENSG00000275373",3,0,0.0014,0.72870284,0.884178031,"MIR6124","#N/A","#N/A"
"22616","ENSG00000280027",220,0,0.0014,0.728703922,0.884178031,"AC007342.9","#N/A","#N/A"
"22617","ENSG00000092148",2078,0,0.0014,0.728942782,0.884196392,"HECTD1","9606.ENSP00000382269","Ensembl_gene"
"22618","ENSG00000120705",2673,0,0.0014,0.728788604,0.884196392,"ETF1","9606.ENSP00000353741","Ensembl_gene"
"22619","ENSG00000179542",99,0,0.0014,0.728858494,0.884196392,"SLITRK4","9606.ENSP00000469205","Ensembl_gene"
"22620","ENSG00000197857",1177,0,0.0014,0.729012459,0.884196392,"ZNF44","9606.ENSP00000348419","Ensembl_gene"
"22621","ENSG00000235834",8,0,0.0014,0.728992735,0.884196392,"Z93022.1","#N/A","#N/A"
"22622","ENSG00000238966",1,0,0.0014,0.728861208,0.884196392,"AC090571.1","#N/A","#N/A"
"22623","ENSG00000240441",1,0,0.0014,0.729013866,0.884196392,"AC007622.1","#N/A","#N/A"
"22624","ENSG00000243508",1,0,0.0014,0.729020341,0.884196392,"AC108688.1","#N/A","#N/A"
"22625","ENSG00000269982",30,0,0.0014,0.72904878,0.884196392,"AC018809.2","#N/A","#N/A"
"22626","ENSG00000279656",48,0,0.0014,0.728815922,0.884196392,"AL132780.4","#N/A","#N/A"
"22627","ENSG00000104517",2858,0,0.0014,0.729485571,0.884201205,"UBR5","9606.ENSP00000429084","Ensembl_gene"
"22628","ENSG00000127580",684,0,0.0014,0.729454464,0.884201205,"WDR24","9606.ENSP00000293883","Ensembl_gene"
"22629","ENSG00000138771",1,0,0.0014,0.729503855,0.884201205,"SHROOM3","9606.ENSP00000296043","Ensembl_gene"
"22630","ENSG00000157657",99,0,0.0014,0.729315869,0.884201205,"ZNF618","9606.ENSP00000288466","Ensembl_gene"
"22631","ENSG00000174437",1931,4e-04,0.0015,0.729303956,0.884201205,"ATP2A2","9606.ENSP00000440045","Ensembl_gene"
"22632","ENSG00000211799",253,0,0.0014,0.72934539,0.884201205,"TRAV19","#N/A","#N/A"
"22633","ENSG00000214174",329,0,0.0014,0.729091464,0.884201205,"AMZ2P1","#N/A","#N/A"
"22634","ENSG00000248174",9,0,0.0014,0.72934405,0.884201205,"LINC02268","#N/A","#N/A"
"22635","ENSG00000267986",1,0,0.0014,0.72925378,0.884201205,"AC130469.1","#N/A","#N/A"
"22636","ENSG00000275055",24,0,0.0014,0.729387084,0.884201205,"AC011468.5","#N/A","#N/A"
"22637","ENSG00000277144",1,0,0.0014,0.729132676,0.884201205,"AC092757.3","#N/A","#N/A"
"22638","ENSG00000278077",1,0,0.0014,0.729465705,0.884201205,"AL591926.8","#N/A","#N/A"
"22639","ENSG00000279080",7,0,0.0014,0.729410906,0.884201205,"AL022322.2","#N/A","#N/A"
"22640","ENSG00000286011",2,0,0.0014,0.729313575,0.884201205,"AC062037.4","#N/A","#N/A"
"22641","ENSG00000172236",15,0,0.0014,0.729541326,0.884207567,"TPSAB1","9606.ENSP00000343577","Ensembl_gene"
"22642","ENSG00000122971",992,0,0.0014,0.729880702,0.884246238,"ACADS","9606.ENSP00000242592","Ensembl_gene"
"22643","ENSG00000137962",20,0,0.0014,0.729844998,0.884246238,"ARHGAP29","9606.ENSP00000260526","Ensembl_gene"
"22644","ENSG00000167315",1454,-5e-04,0.0015,0.729805967,0.884246238,"ACAA2","9606.ENSP00000285093","Ensembl_gene"
"22645","ENSG00000169021",2120,0,0.0014,0.729923694,0.884246238,"UQCRFS1","9606.ENSP00000306397","Ensembl_gene"
"22646","ENSG00000239569",310,0,0.0014,0.729902214,0.884246238,"KMT2E-AS1","#N/A","#N/A"
"22647","ENSG00000263232",1,0,0.0014,0.729897205,0.884246238,"ATP5F1AP3","#N/A","#N/A"
"22648","ENSG00000263338",1,0,0.0014,0.729792429,0.884246238,"AC027796.5","#N/A","#N/A"
"22649","ENSG00000266667",1,0,0.0014,0.729821059,0.884246238,"AC005703.4","#N/A","#N/A"
"22650","ENSG00000273064",23,0,0.0014,0.729874961,0.884246238,"AC017083.1","#N/A","#N/A"
"22651","ENSG00000285020",5,0,0.0014,0.729846047,0.884246238,"AC020765.5","#N/A","#N/A"
"22652","ENSG00000287402",1,0,0.0014,0.729927692,0.884246238,"AL158167.1","#N/A","#N/A"
"22653","ENSG00000106105",2306,-1e-04,0.0014,0.730102395,0.884301723,"GARS1","9606.ENSP00000373918","Ensembl_gene"
"22654","ENSG00000106351",1035,0,0.0014,0.730065681,0.884301723,"AGFG2","9606.ENSP00000300176","Ensembl_gene"
"22655","ENSG00000117298",11408,-1e-04,0.0014,0.730095239,0.884301723,"ECE1","9606.ENSP00000364028","Ensembl_gene"
"22656","ENSG00000207297",1,0,0.0014,0.73005926,0.884301723,"SNORD7","#N/A","#N/A"
"22657","ENSG00000258738",150,0,0.0014,0.730224737,0.884410867,"AL121603.2","#N/A","#N/A"
"22658","ENSG00000242258",76,0,0.0014,0.730262095,0.884417078,"LINC00996","#N/A","#N/A"
"22659","ENSG00000236078",3,0,0.0014,0.730311904,0.884438367,"LINC01447","#N/A","#N/A"
"22660","ENSG00000148225",20,0,0.0014,0.730412836,0.884521563,"WDR31","9606.ENSP00000363308","Ensembl_gene"
"22661","ENSG00000239820",1,0,0.0014,0.730602296,0.884711955,"RN7SL213P","#N/A","#N/A"
"22662","ENSG00000090776",305,0,0.0014,0.730774716,0.884745676,"EFNB1","9606.ENSP00000204961","Ensembl_gene"
"22663","ENSG00000103647",84,0,0.0014,0.730745397,0.884745676,"CORO2B","9606.ENSP00000454783","Ensembl_gene"
"22664","ENSG00000116127",545,0,0.0014,0.730793413,0.884745676,"ALMS1","9606.ENSP00000482968","Ensembl_gene"
"22665","ENSG00000135218",5476,0,0.0014,0.730855836,0.884745676,"CD36","9606.ENSP00000399421","Ensembl_gene"
"22666","ENSG00000164821",469,0,0.0014,0.730852023,0.884745676,"DEFA4","9606.ENSP00000297435","Ensembl_gene"
"22667","ENSG00000179406",722,0,0.0014,0.730672546,0.884745676,"LINC00174","#N/A","#N/A"
"22668","ENSG00000258765",2,0,0.0014,0.730792083,0.884745676,"AC107958.2","#N/A","#N/A"
"22669","ENSG00000102962",4,0,0.0014,0.731244228,0.884747481,"CCL22","9606.ENSP00000219235","Ensembl_gene"
"22670","ENSG00000113721",168,0,0.0014,0.731198943,0.884747481,"PDGFRB","9606.ENSP00000261799","Ensembl_gene"
"22671","ENSG00000129007",26,0,0.0014,0.731177572,0.884747481,"CALML4","9606.ENSP00000419081","Ensembl_gene"
"22672","ENSG00000163468",5820,0,0.0014,0.731223806,0.884747481,"CCT3","9606.ENSP00000295688","Ensembl_gene"
"22673","ENSG00000172292",926,0,0.0014,0.731143431,0.884747481,"CERS6","9606.ENSP00000376453","Ensembl_gene"
"22674","ENSG00000236317",2,0,0.0014,0.731086101,0.884747481,"AC104333.2","#N/A","#N/A"
"22675","ENSG00000237273",1,0,0.0014,0.731083606,0.884747481,"RSL24D1P8","#N/A","#N/A"
"22676","ENSG00000264451",1,0,0.0014,0.73091492,0.884747481,"AC036222.3","#N/A","#N/A"
"22677","ENSG00000267387",3,0,0.0014,0.730955887,0.884747481,"AC020931.1","#N/A","#N/A"
"22678","ENSG00000275714",3,0,0.0014,0.731049793,0.884747481,"H3C1","9606.ENSP00000480826","Ensembl_gene"
"22679","ENSG00000285914",1,0,0.0014,0.73118922,0.884747481,"AC022440.1","#N/A","#N/A"
"22680","ENSG00000286722",1,0,0.0014,0.731203285,0.884747481,"AC009244.2","#N/A","#N/A"
"22681","ENSG00000078399",14,0,0.0014,0.731318675,0.884783226,"HOXA9","9606.ENSP00000343619","Ensembl_gene"
"22682","ENSG00000124256",3390,-0.3322,0.1329,0.731350065,0.884783226,"ZBP1","9606.ENSP00000360215","Ensembl_gene"
"22683","ENSG00000201435",1,0,0.0014,0.731438014,0.884783226,"RNU4-24P","#N/A","#N/A"
"22684","ENSG00000276384",7,0,0.0014,0.731376317,0.884783226,"AC016876.4","#N/A","#N/A"
"22685","ENSG00000278974",3,0,0.0014,0.731404316,0.884783226,"AC093909.6","#N/A","#N/A"
"22686","ENSG00000279265",61,0,0.0014,0.73146723,0.884783226,"AC000123.2","#N/A","#N/A"
"22687","ENSG00000165810",31,0,0.0014,0.731513819,0.884783484,"BTNL9","9606.ENSP00000330200","Ensembl_gene"
"22688","ENSG00000236304",932,0,0.0014,0.731531929,0.884783484,"AP001189.1","#N/A","#N/A"
"22689","ENSG00000185684",662,-1e-04,0.0014,0.731570615,0.884784385,"EP400P1","9606.ENSP00000374211","Ensembl_gene"
