"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"10579","ENSG00000133142",352,-0.023,0.0533,0.511,0.795,"TCEAL4","9606.ENSP00000361712","Ensembl_gene"
"10580","ENSG00000198242",42832,-0.0194,0.0626,0.511,0.795,"RPL23A","9606.ENSP00000389103","Ensembl_gene"
"10581","ENSG00000198938",178746,-0.0215,0.0591,0.511,0.795,"MT-CO3","9606.ENSP00000354982","Ensembl_gene"
"10582","ENSG00000234618",21,-0.0117,0.0672,0.511,0.795,"RPSAP9","#N/A","#N/A"
"10583","ENSG00000115525",717,0.0221,0.0579,0.511,0.795,"ST3GAL5","9606.ENSP00000366549","Ensembl_gene"
"10584","ENSG00000154945",573,0.0231,0.0496,0.511,0.795,"ANKRD40","9606.ENSP00000285243","Ensembl_gene"
"10585","ENSG00000238142",345,0.0149,0.066,0.511,0.795,"BX284668.5","#N/A","#N/A"
"10586","ENSG00000100528",769,0.021,0.0605,0.511,0.795,"CNIH1","9606.ENSP00000216416","Ensembl_gene"
"10587","ENSG00000105409",23,-0.0122,0.0671,0.511,0.795,"ATP1A3","9606.ENSP00000444688","Ensembl_gene"
"10588","ENSG00000100603",2584,0.0229,0.0541,0.512,0.796,"SNW1","9606.ENSP00000261531","Ensembl_gene"
"10589","ENSG00000131471",713,-0.021,0.0601,0.512,0.796,"AOC3","9606.ENSP00000312326","Ensembl_gene"
"10590","ENSG00000155324",80,0.0204,0.0617,0.512,0.796,"GRAMD2B","9606.ENSP00000426120","Ensembl_gene"
"10591","ENSG00000232354",17,-0.0111,0.0674,0.512,0.796,"VIPR1-AS1","#N/A","#N/A"
"10592","ENSG00000126467",68,0.0208,0.064,0.512,0.796,"TSKS","9606.ENSP00000246801","Ensembl_gene"
"10593","ENSG00000256553",168,0.0178,0.0642,0.512,0.796,"TRAV1-2","#N/A","#N/A"
"10594","ENSG00000214194",198,0.0135,0.0665,0.512,0.796,"SMIM30","#N/A","#N/A"
"10595","ENSG00000237017",15,-0.0124,0.067,0.512,0.796,"AC245052.4","#N/A","#N/A"
"10596","ENSG00000177879",923,0.0132,0.0606,0.512,0.796,"AP3S1","9606.ENSP00000325369","Ensembl_gene"
"10597","ENSG00000197951",314,-0.0229,0.0514,0.512,0.796,"ZNF71","9606.ENSP00000328245","Ensembl_gene"
"10598","ENSG00000110844",182,0.0197,0.0619,0.513,0.796,"PRPF40B","9606.ENSP00000448073","Ensembl_gene"
"10599","ENSG00000125618",66,0.0159,0.0656,0.513,0.796,"PAX8","9606.ENSP00000263334","Ensembl_gene"
"10600","ENSG00000135722",273,-0.0225,0.0561,0.513,0.796,"FBXL8","9606.ENSP00000258200","Ensembl_gene"
"10601","ENSG00000164125",732,0.0157,0.0655,0.513,0.796,"GASK1B","9606.ENSP00000377396","Ensembl_gene"
"10602","ENSG00000171657",122,0.0088,0.0679,0.513,0.796,"GPR82","9606.ENSP00000303549","Ensembl_gene"
