"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"43775","ENSG00000258705",1,-0.03,0.0699,0.00662,0.12,"AC245505.2","",""
"43776","ENSG00000142748",1,0.0172,0.0624,0.00663,0.12,"FCN3","9606.ENSP00000270879","Ensembl_gene"
"43777","ENSG00000278922",1,0.0275,0.068,0.00665,0.12,"AC002310.5","",""
"43778","ENSG00000188916",3,-0.0367,0.0757,0.00666,0.12,"INSYN2A","9606.ENSP00000429763","Ensembl_gene"
"43779","ENSG00000173915",787,-0.1814,0.1205,0.00667,0.12,"ATP5MD","9606.ENSP00000358840","Ensembl_gene"
"43780","ENSG00000267364",277,-0.1515,0.0851,0.00668,0.12,"AC022706.1","",""
"43781","ENSG00000267905",1,-0.032,0.0714,0.00668,0.12,"AC008750.3","",""
"43782","ENSG00000160117",172,0.1329,0.0735,0.00669,0.12,"ANKLE1","9606.ENSP00000377971","Ensembl_gene"
"43783","ENSG00000272405",5,-0.0461,0.0865,0.00669,0.12,"AL365181.3","",""
"43784","ENSG00000276176",1,-0.6745,0.6433,0.00668,0.12,"MIR6090","",""
"43785","ENSG00000065989",790,0.1527,0.0877,0.00652,0.119,"PDE4A","9606.ENSP00000370078","Ensembl_gene"
"43786","ENSG00000102409",690,-0.1179,0.0598,0.00651,0.119,"BEX4","9606.ENSP00000361780","Ensembl_gene"
"43787","ENSG00000132541",76,-0.2253,0.1743,0.00651,0.119,"RIDA","9606.ENSP00000254878","Ensembl_gene"
"43788","ENSG00000165272",2476,-0.1466,0.0942,0.00651,0.119,"AQP3","9606.ENSP00000297991","Ensembl_gene"
"43789","ENSG00000167283",395,-0.1856,0.124,0.00652,0.119,"ATP5MG","9606.ENSP00000300688","Ensembl_gene"
"43790","ENSG00000231827",6,0.0516,0.0948,0.00651,0.119,"AL513523.4","",""
"43791","ENSG00000258657",2,-0.0418,0.0813,0.00653,0.119,"AL136018.1","",""
"43792","ENSG00000159202",4268,0.0593,0.0242,0.00654,0.119,"UBE2Z","9606.ENSP00000354201","Ensembl_gene"
"43793","ENSG00000250955",1,0.0163,0.062,0.00654,0.119,"AC008592.2","",""
"43794","ENSG00000173041",76,-0.1951,0.14,0.00657,0.119,"ZNF680","9606.ENSP00000309330","Ensembl_gene"
"43795","ENSG00000136522",394,-0.2345,0.1842,0.00659,0.119,"MRPL47","9606.ENSP00000417602","Ensembl_gene"
