"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"17780","ENSG00000173065",650,0.0025,0.0316,0.916,0.978,"FAM222B","9606.ENSP00000462419","Ensembl_gene"
"17781","ENSG00000173207",255,-0.0019,0.0414,0.916,0.978,"CKS1B","9606.ENSP00000311083","Ensembl_gene"
"17782","ENSG00000179943",676,0.0024,0.0375,0.913,0.978,"FIZ1","9606.ENSP00000221665","Ensembl_gene"
"17783","ENSG00000180251",11,0.0016,0.0443,0.915,0.978,"SLC9A4","9606.ENSP00000295269","Ensembl_gene"
"17784","ENSG00000180902",1854,-0.0022,0.0388,0.916,0.978,"D2HGDH","9606.ENSP00000315351","Ensembl_gene"
"17785","ENSG00000181097",73,-0.0021,0.0398,0.916,0.978,"AC105219.1","#N/A","#N/A"
"17786","ENSG00000182504",141,0.0021,0.041,0.913,0.978,"CEP97","9606.ENSP00000342510","Ensembl_gene"
"17787","ENSG00000185432",1772,-0.0021,0.0409,0.913,0.978,"METTL7A","9606.ENSP00000448785","Ensembl_gene"
"17788","ENSG00000186329",14,-0.0011,0.045,0.917,0.978,"TMEM212","9606.ENSP00000334072","Ensembl_gene"
"17789","ENSG00000196235",6376,-0.0023,0.0378,0.915,0.978,"SUPT5H","9606.ENSP00000470252","Ensembl_gene"
"17790","ENSG00000197779",177,0.0024,0.0371,0.916,0.978,"ZNF81","9606.ENSP00000366153","Ensembl_gene"
"17791","ENSG00000197892",870,-0.0024,0.0349,0.915,0.978,"KIF13B","9606.ENSP00000427900","Ensembl_gene"
"17792","ENSG00000202314",9,9e-04,0.0456,0.916,0.978,"SNORD6","#N/A","#N/A"
"17793","ENSG00000205560",46,-0.0017,0.0429,0.917,0.978,"CPT1B","9606.ENSP00000379011","Ensembl_gene"
"17794","ENSG00000213231",8,-9e-04,0.0454,0.915,0.978,"TCL1B","9606.ENSP00000343223","Ensembl_gene"
"17795","ENSG00000226352",11,0.0013,0.0446,0.917,0.978,"PSPC1-AS2","#N/A","#N/A"
"17796","ENSG00000226699",6,0.0012,0.0453,0.917,0.978,"AL360181.1","#N/A","#N/A"
"17797","ENSG00000226824",78,0.0024,0.0378,0.914,0.978,"AC006001.2","#N/A","#N/A"
"17798","ENSG00000239713",3201,0.0025,0.034,0.915,0.978,"APOBEC3G","9606.ENSP00000385057","Ensembl_gene"
"17799","ENSG00000245025",306,-0.0031,0.0315,0.915,0.978,"AC107959.1","#N/A","#N/A"
"17800","ENSG00000248508",193,-0.0019,0.0358,0.916,0.978,"SRP14-AS1","#N/A","#N/A"
"17801","ENSG00000248794",5,-6e-04,0.0457,0.916,0.978,"AC026436.1","#N/A","#N/A"
"17802","ENSG00000254017",11,0.0011,0.0451,0.914,0.978,"IGHEP2","#N/A","#N/A"
"17803","ENSG00000256039",307,-0.0021,0.0403,0.914,0.978,"LINC02446","#N/A","#N/A"
"17804","ENSG00000259225",23,-0.0012,0.0448,0.914,0.978,"LINC02345","#N/A","#N/A"
"17805","ENSG00000261183",18,0.0015,0.0438,0.917,0.978,"SPINT1-AS1","#N/A","#N/A"
"17806","ENSG00000265874",57,-0.0019,0.042,0.916,0.978,"MIR4489","#N/A","#N/A"
"17807","ENSG00000265982",201,0.0019,0.042,0.916,0.978,"AC103810.3","#N/A","#N/A"
"17808","ENSG00000268912",41,0.002,0.041,0.916,0.978,"AC012313.5","#N/A","#N/A"
"17809","ENSG00000272030",28,-0.0021,0.0409,0.914,0.978,"AL162258.2","#N/A","#N/A"
"17810","ENSG00000275763",7,-9e-04,0.0455,0.914,0.978,"C18orf65","9606.ENSP00000479281","Ensembl_gene"
"17811","ENSG00000277072",218,-0.0017,0.0429,0.913,0.978,"STAG3L2","#N/A","#N/A"
"17812","ENSG00000279759",76,0.0013,0.0444,0.916,0.978,"AC118344.4","#N/A","#N/A"
"17813","ENSG00000286381",27,-0.0015,0.0436,0.915,0.978,"AL078622.1","#N/A","#N/A"
"17814","ENSG00000286931",45,-0.002,0.0411,0.917,0.978,"AL136419.3","#N/A","#N/A"
"17815","ENSG00000287104",170,-0.0024,0.0372,0.913,0.978,"AC097382.3","#N/A","#N/A"
"17816","ENSG00000287238",18,-0.0017,0.043,0.914,0.978,"AP002954.2","#N/A","#N/A"
"17817","ENSG00000288093",11,0.0012,0.0453,0.913,0.978,"AL592295.5","#N/A","#N/A"
"17818","ENSG00000111335",3858,-0.0016,0.0431,0.917,0.978,"OAS2","9606.ENSP00000342278","Ensembl_gene"
"17819","ENSG00000112715",539,0.0021,0.0397,0.917,0.978,"VEGFA","9606.ENSP00000478570","Ensembl_gene"
"17820","ENSG00000156709",975,0.0023,0.0379,0.917,0.978,"AIFM1","9606.ENSP00000287295","Ensembl_gene"
"17821","ENSG00000258056",137,-0.0021,0.0393,0.917,0.978,"AC009779.3","#N/A","#N/A"
"17822","ENSG00000122218",5800,0.0023,0.037,0.917,0.978,"COPA","9606.ENSP00000357048","Ensembl_gene"
"17823","ENSG00000266998",92,-0.0018,0.0421,0.917,0.978,"AC111182.1","#N/A","#N/A"
"17824","ENSG00000141540",1462,0.0024,0.0349,0.917,0.978,"TTYH2","9606.ENSP00000269346","Ensembl_gene"
"17825","ENSG00000146530",14,0.0012,0.045,0.917,0.978,"VWDE","9606.ENSP00000275358","Ensembl_gene"
"17826","ENSG00000153044",98,-0.0022,0.0381,0.918,0.978,"CENPH","9606.ENSP00000283006","Ensembl_gene"
"17827","ENSG00000239951",1681,-0.0017,0.0426,0.918,0.978,"IGKV3-20","#N/A","#N/A"
"17828","ENSG00000089157",72522,-0.0018,0.0422,0.918,0.978,"RPLP0","9606.ENSP00000449328","Ensembl_gene"
