"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"21200","ENSG00000212802",203,0,0.0014,0.914,0.974,"RPL15P3","#N/A","#N/A"
"21201","ENSG00000287979",38,0,0.0014,0.914,0.974,"AC253572.2","#N/A","#N/A"
"21202","ENSG00000182013",3,0,0.0014,0.914,0.974,"PNMA8A","9606.ENSP00000318131","Ensembl_gene"
"21203","ENSG00000104853",4070,-2e-04,0.0014,0.915,0.974,"CLPTM1","9606.ENSP00000336994","Ensembl_gene"
"21204","ENSG00000138600",1319,0,0.0014,0.914,0.974,"SPPL2A","9606.ENSP00000261854","Ensembl_gene"
"21205","ENSG00000245954",546,0,0.0014,0.915,0.974,"LINC02273","#N/A","#N/A"
"21206","ENSG00000286129",31,0,0.0014,0.914,0.974,"AC245060.7","#N/A","#N/A"
"21207","ENSG00000189229",3,0,0.0014,0.915,0.974,"AC069277.1","#N/A","#N/A"
"21208","ENSG00000161405",3568,-1e-04,0.0014,0.915,0.974,"IKZF3","9606.ENSP00000344544","Ensembl_gene"
"21209","ENSG00000234618",22,0,0.0014,0.915,0.974,"RPSAP9","#N/A","#N/A"
"21210","ENSG00000073584",103,0,0.0014,0.915,0.974,"SMARCE1","9606.ENSP00000323967","Ensembl_gene"
"21211","ENSG00000269292",15,0,0.0014,0.915,0.974,"AC093503.2","#N/A","#N/A"
"21212","ENSG00000142279",20,0,0.0014,0.915,0.974,"WTIP","9606.ENSP00000466953","Ensembl_gene"
"21213","ENSG00000162510",7,0,0.0014,0.915,0.974,"MATN1","9606.ENSP00000362870","Ensembl_gene"
"21214","ENSG00000163993",7387,0,0.0014,0.915,0.974,"S100P","9606.ENSP00000296370","Ensembl_gene"
"21215","ENSG00000274256",25,0,0.0014,0.915,0.974,"AL391903.2","#N/A","#N/A"
"21216","ENSG00000070915",27,0,0.0014,0.916,0.975,"SLC12A3","9606.ENSP00000402152","Ensembl_gene"
"21217","ENSG00000086544",1153,0,0.0014,0.916,0.975,"ITPKC","9606.ENSP00000263370","Ensembl_gene"
"21218","ENSG00000113758",1429,-3e-04,0.0015,0.916,0.975,"DBN1","9606.ENSP00000292385","Ensembl_gene"
"21219","ENSG00000166913",14298,-2e-04,0.0015,0.916,0.975,"YWHAB","9606.ENSP00000361930","Ensembl_gene"
"21220","ENSG00000182586",4,0,0.0014,0.916,0.975,"LINC00334","#N/A","#N/A"
"21221","ENSG00000183160",64,0,0.0014,0.916,0.975,"TMEM119","9606.ENSP00000376553","Ensembl_gene"
"21222","ENSG00000148358",2127,0,0.0014,0.916,0.975,"GPR107","9606.ENSP00000361483","Ensembl_gene"
"21223","ENSG00000270339",8,0,0.0014,0.916,0.975,"PPIAL4H","9606.ENSP00000464619","Ensembl_gene"
"21224","ENSG00000067048",483,0,0.0014,0.916,0.975,"DDX3Y","#N/A","#N/A"
"21225","ENSG00000140675",69,0,0.0014,0.916,0.975,"SLC5A2","9606.ENSP00000327943","Ensembl_gene"
"21226","ENSG00000188385",21,0,0.0014,0.917,0.975,"JAKMIP3","9606.ENSP00000298622","Ensembl_gene"
"21227","ENSG00000286688",8,0,0.0014,0.917,0.975,"AP002748.6","#N/A","#N/A"
"21228","ENSG00000102226",1248,0,0.0014,0.917,0.975,"USP11","9606.ENSP00000218348","Ensembl_gene"
"21229","ENSG00000129347",2557,0,0.0014,0.917,0.975,"KRI1","9606.ENSP00000320917","Ensembl_gene"
"21230","ENSG00000237238",6,0,0.0014,0.917,0.975,"BMS1P10","#N/A","#N/A"
"21231","ENSG00000275450",5,0,0.0014,0.917,0.975,"AL845472.1","#N/A","#N/A"
"21232","ENSG00000285888",6,0,0.0014,0.917,0.975,"Z85996.2","#N/A","#N/A"
"21233","ENSG00000144283",469,0,0.0014,0.917,0.975,"PKP4","9606.ENSP00000374409","Ensembl_gene"
"21234","ENSG00000184368",5,0,0.0014,0.917,0.975,"MAP7D2","9606.ENSP00000368964","Ensembl_gene"
"21235","ENSG00000235578",3,0,0.0014,0.917,0.975,"AC007731.3","#N/A","#N/A"
"21236","ENSG00000248936",61,0,0.0014,0.917,0.975,"AC027607.1","#N/A","#N/A"
"21237","ENSG00000100823",4249,-1e-04,0.0014,0.917,0.975,"APEX1","9606.ENSP00000216714","Ensembl_gene"
"21238","ENSG00000110080",2571,0,0.0014,0.917,0.975,"ST3GAL4","9606.ENSP00000436047","Ensembl_gene"
"21239","ENSG00000092621",201,3e-04,0.0015,0.917,0.975,"PHGDH","9606.ENSP00000358417","Ensembl_gene"
"21240","ENSG00000134571",918,0,0.0014,0.917,0.975,"MYBPC3","9606.ENSP00000442795","Ensembl_gene"
"21241","ENSG00000204231",5431,1e-04,0.0014,0.917,0.975,"RXRB","9606.ENSP00000363817","Ensembl_gene"
"21242","ENSG00000211513",32,0,0.0014,0.917,0.975,"MIR320E","#N/A","#N/A"
"21243","ENSG00000272654",22,0,0.0014,0.917,0.975,"AL358472.2","#N/A","#N/A"
"21244","ENSG00000119729",2125,0,0.0014,0.918,0.975,"RHOQ","9606.ENSP00000238738","Ensembl_gene"
"21245","ENSG00000174456",591,0,0.0014,0.918,0.975,"C12orf76","9606.ENSP00000308368","Ensembl_gene"
"21246","ENSG00000175985",20,0,0.0014,0.918,0.975,"PLEKHD1","9606.ENSP00000317175","Ensembl_gene"
"21247","ENSG00000189350",223,0,0.0014,0.918,0.975,"TOGARAM2","9606.ENSP00000368876","Ensembl_gene"
"21248","ENSG00000271427",6,0,0.0014,0.918,0.975,"AL358072.1","#N/A","#N/A"
"21249","ENSG00000285108",2,0,0.0014,0.918,0.975,"AC103718.1","#N/A","#N/A"
"21250","ENSG00000111801",3326,0,0.0014,0.918,0.975,"BTN3A3","9606.ENSP00000244519","Ensembl_gene"
"21251","ENSG00000177084",1343,0,0.0014,0.918,0.976,"POLE","9606.ENSP00000322570","Ensembl_gene"
"21252","ENSG00000046647",353,0,0.0014,0.918,0.976,"GEMIN8","9606.ENSP00000369895","Ensembl_gene"
"21253","ENSG00000266495",2,0,0.0014,0.918,0.976,"AC011731.1","#N/A","#N/A"
"21254","ENSG00000064042",4,0,0.0014,0.918,0.976,"LIMCH1","9606.ENSP00000316891","Ensembl_gene"
"21255","ENSG00000189423",15,0,0.0014,0.918,0.976,"USP32P3","#N/A","#N/A"
"21256","ENSG00000105866",156,0,0.0014,0.919,0.976,"SP4","9606.ENSP00000222584","Ensembl_gene"
"21257","ENSG00000144045",8,0,0.0014,0.919,0.976,"DQX1","9606.ENSP00000384621","Ensembl_gene"
"21258","ENSG00000188760",14,0,0.0014,0.919,0.976,"TMEM198","9606.ENSP00000343507","Ensembl_gene"
