"","signature","padj","comparison","method","ln_padj"
"766","LS_Dup_W16",1.14778279134037e-11,"eso_high_dupi","LEANR+ORA",25.1906039490884
"767","LS_pre_post_DPL",3.17225865720275e-47,"eso_high_dupi","LEANR+ORA",107.067055526387
"768","LS_v_NL_BSL",3.92114657224039e-33,"eso_high_dupi","LEANR+ORA",74.6189239648504
"769","serum_AD_eosinophil_high_pre_v_post_DP",1.27931430214947e-26,"eso_high_dupi","LEANR+ORA",59.6208881848987
"770","serum_AD_m3_v_m0_DP",9.42522323929462e-25,"eso_high_dupi","LEANR+ORA",55.3212379059308
"771","LS_v_NL_post_DP",3.4277542993737e-13,"eso_high_dupi","LEANR+ORA",28.7017008853843
"772","LS_Dup_W16",5.74441487384261e-13,"eso_high_dupi","LEANR+ORA",28.1853781524447
"773","LS_Dup_W4",8.35373166570138e-12,"eso_high_dupi","LEANR+ORA",25.5083127708265
"774","LS_pre_post_DPL",9.92384164649917e-45,"eso_high_dupi","LEANR+ORA",101.32138907565
"775","serum_AD_eosinophil_high_pre_v_post_DP",5.51737995049657e-38,"eso_high_dupi","LEANR+ORA",85.7903304328143
"776","serum_AD_m3_v_m0_DP",5.22792122602577e-33,"eso_high_dupi","LEANR+ORA",74.3312943408624
"777","LS_v_NL_BSL",8.42136236424351e-30,"eso_high_dupi","LEANR+ORA",66.9467811736765
"778","LS_v_NL_post_DP",7.04029754664118e-13,"eso_high_dupi","LEANR+ORA",27.9819557744979
"779","LS_Dup_W16",1.13085319731881e-11,"eso_high_dupi","LEANR+ORA",25.2054636332359
"780","LS_Dup_W4",2.90463921479881e-10,"eso_high_dupi","LEANR+ORA",21.9595417419109
"781","serum_AD_eosinophil_high_pre_v_post_DP",1.65044257559832e-47,"eso_high_dupi","LEANR+ORA",107.720455891139
"782","LS_pre_post_DPL",1.65044257559832e-47,"eso_high_dupi","LEANR+ORA",107.720455891139
"783","serum_AD_m3_v_m0_DP",1.74701533834336e-37,"eso_high_dupi","LEANR+ORA",84.6377396298476
"784","LS_v_NL_BSL",1.18165004899508e-30,"eso_high_dupi","LEANR+ORA",68.9106409815139
"785","LS_Dup_W16",3.75450400855802e-14,"eso_high_dupi","LEANR+ORA",30.9132351136918
"786","LS_v_NL_post_DP",5.2371397007929e-12,"eso_high_dupi","LEANR+ORA",25.975245625258
"787","LS_Dup_W4",3.76210851505299e-10,"eso_high_dupi","LEANR+ORA",21.7008713544343
"788","LS_v_NL_DP_W0",5.13975181946809e-05,"eso_high_dupi","LEANR+ORA",9.87592067081905
"789","LS_pre_post_DPL",2.03226386950816e-38,"eso_high_dupi","LEANR+ORA",86.7890831554468
"790","serum_AD_eosinophil_high_pre_v_post_DP",1.26609967674674e-33,"eso_high_dupi","LEANR+ORA",75.7493670145736
"791","serum_AD_m3_v_m0_DP",7.5245117934718e-28,"eso_high_dupi","LEANR+ORA",62.454216673247
"792","LS_v_NL_BSL",2.23441040704007e-26,"eso_high_dupi","LEANR+ORA",59.0632350245631
"793","LS_Dup_W16",8.671350057701e-12,"eso_high_dupi","LEANR+ORA",25.4709966212608
"794","LS_v_NL_post_DP",1.16128640277487e-11,"eso_high_dupi","LEANR+ORA",25.1789076643575
